1,1,1,Styczeń
2,1,2,Luty
3,1,3,Marzec
4,1,4,Kwieceiń
5,1,5,Maj
6,1,6,Czerwiec
7,1,7,Lipiec
8,1,8,Sierpień
9,1,9,Wrzesień
10,1,10,Październik
11,1,11,Listopad
12,1,12,Grudzień
13,2,1,Styczeń
14,2,2,Luty
15,2,3,Marzec
16,2,4,Kwieceiń
17,2,5,Maj
18,2,6,Czerwiec
19,2,7,Lipiec
20,2,8,Sierpień
21,2,9,Wrzesień
22,2,10,Październik
23,2,11,Listopad
24,2,12,Grudzień
25,3,1,Styczeń
26,3,2,Luty
27,3,3,Marzec
28,3,4,Kwieceiń
29,3,5,Maj
30,3,6,Czerwiec
31,3,7,Lipiec
32,3,8,Sierpień
33,3,9,Wrzesień
34,3,10,Październik
35,3,11,Listopad
36,3,12,Grudzień
37,4,1,Styczeń
38,4,2,Luty
39,4,3,Marzec
40,4,4,Kwieceiń
41,4,5,Maj
42,4,6,Czerwiec
43,4,7,Lipiec
44,4,8,Sierpień
45,4,9,Wrzesień
46,4,10,Październik
47,4,11,Listopad
48,4,12,Grudzień
49,5,1,Styczeń
50,5,2,Luty
51,5,3,Marzec
52,5,4,Kwieceiń
53,5,5,Maj
54,5,6,Czerwiec
55,5,7,Lipiec
56,5,8,Sierpień
57,5,9,Wrzesień
58,5,10,Październik
59,5,11,Listopad
60,5,12,Grudzień
