1,74,41,1,192,52,968,1933
2,44,16,1,167,20,971,1476
3,78,9,1,1113,39,806,1845
4,74,17,1,447,34,574,410
5,57,17,1,779,21,322,1459
6,77,15,2,538,2,170,874
7,37,3,2,1047,13,622,587
8,45,43,3,141,21,955,807
9,18,27,3,426,52,44,522
10,79,26,4,735,45,212,1145
11,61,19,4,773,8,44,1552
12,93,12,4,1077,41,613,1201
13,10,45,5,994,16,138,913
14,26,34,6,296,50,973,724
15,72,45,6,1157,57,57,494
16,32,39,7,545,14,435,417
17,20,20,7,29,22,491,1560
18,42,19,7,1190,45,523,1057
19,33,14,7,495,37,577,1986
20,98,23,7,592,1,991,244
21,86,13,8,1036,37,880,431
22,3,4,9,305,53,461,362
23,32,35,9,475,57,34,1434
24,91,10,9,410,26,159,990
25,77,31,10,521,64,206,1336
26,29,22,10,408,29,283,680
27,79,33,10,822,14,18,1035
28,22,27,10,412,6,703,1839
29,65,38,11,73,10,325,592
30,45,44,11,675,31,461,463
31,60,24,12,1038,16,821,1961
32,68,33,13,467,6,30,1465
33,20,26,13,1117,9,129,858
34,83,25,13,1027,29,10,1842
35,66,3,13,282,57,662,896
36,20,11,14,364,7,345,1511
37,19,32,14,801,58,647,24
38,42,30,14,686,2,156,1536
39,98,42,15,15,7,860,717
40,53,12,15,428,18,745,962
41,67,13,15,899,34,708,1089
42,27,45,16,595,23,826,1873
43,50,48,17,1112,41,682,1273
44,95,12,17,82,52,552,1661
45,46,11,18,864,33,241,647
46,19,5,18,389,43,43,818
47,62,9,18,761,50,134,1043
48,22,24,19,951,37,26,1632
49,25,18,20,986,5,545,1248
50,1,34,20,1077,62,774,1104
51,2,31,20,699,26,320,641
52,10,5,21,943,17,87,16
53,10,27,21,833,32,870,29
54,95,44,21,93,57,85,123
55,100,34,21,745,4,560,300
56,52,50,22,653,31,278,442
57,10,23,22,829,54,222,1469
58,61,29,23,277,7,86,1234
59,58,25,24,412,29,356,1950
60,19,12,24,1103,39,714,1542
61,86,48,25,625,48,788,1011
62,62,16,25,986,41,358,904
63,41,23,25,813,18,513,235
64,20,17,26,1126,25,899,1173
65,31,9,26,303,31,927,1470
66,93,7,27,391,63,395,254
67,32,20,28,247,58,529,1656
68,1,40,28,134,27,116,1227
69,54,13,29,784,61,779,128
70,18,18,29,518,27,849,734
71,73,28,30,214,64,846,1604
