1,1,1,Styczeń
2,2,1,Styczeń
3,3,1,Styczeń
4,4,1,Styczeń
5,5,1,Styczeń
6,6,1,Styczeń
7,7,1,Styczeń
8,8,1,Styczeń
9,9,1,Styczeń
10,10,1,Styczeń
11,11,1,Styczeń
12,12,1,Styczeń
13,13,1,Styczeń
14,14,1,Styczeń
15,15,1,Styczeń
16,16,1,Styczeń
17,17,1,Styczeń
18,18,1,Styczeń
19,19,1,Styczeń
20,20,1,Styczeń
21,21,1,Styczeń
22,22,1,Styczeń
23,23,1,Styczeń
24,24,1,Styczeń
25,25,1,Styczeń
26,26,1,Styczeń
27,27,1,Styczeń
28,28,1,Styczeń
29,29,1,Styczeń
30,30,1,Styczeń
31,31,1,Styczeń
32,1,2,Luty
33,2,2,Luty
34,3,2,Luty
35,4,2,Luty
36,5,2,Luty
37,6,2,Luty
38,7,2,Luty
39,8,2,Luty
40,9,2,Luty
41,10,2,Luty
42,11,2,Luty
43,12,2,Luty
44,13,2,Luty
45,14,2,Luty
46,15,2,Luty
47,16,2,Luty
48,17,2,Luty
49,18,2,Luty
50,19,2,Luty
51,20,2,Luty
52,21,2,Luty
53,22,2,Luty
54,23,2,Luty
55,24,2,Luty
56,25,2,Luty
57,26,2,Luty
58,27,2,Luty
59,28,2,Luty
60,1,3,Marzec
61,2,3,Marzec
62,3,3,Marzec
63,4,3,Marzec
64,5,3,Marzec
65,6,3,Marzec
66,7,3,Marzec
67,8,3,Marzec
68,9,3,Marzec
69,10,3,Marzec
70,11,3,Marzec
71,12,3,Marzec
72,13,3,Marzec
73,14,3,Marzec
74,15,3,Marzec
75,16,3,Marzec
76,17,3,Marzec
77,18,3,Marzec
78,19,3,Marzec
79,20,3,Marzec
80,21,3,Marzec
81,22,3,Marzec
82,23,3,Marzec
83,24,3,Marzec
84,25,3,Marzec
85,26,3,Marzec
86,27,3,Marzec
87,28,3,Marzec
88,29,3,Marzec
89,30,3,Marzec
90,31,3,Marzec
91,1,4,Kwiecień
92,2,4,Kwiecień
93,3,4,Kwiecień
94,4,4,Kwiecień
95,5,4,Kwiecień
96,6,4,Kwiecień
97,7,4,Kwiecień
98,8,4,Kwiecień
99,9,4,Kwiecień
100,10,4,Kwiecień
101,11,4,Kwiecień
102,12,4,Kwiecień
103,13,4,Kwiecień
104,14,4,Kwiecień
105,15,4,Kwiecień
106,16,4,Kwiecień
107,17,4,Kwiecień
108,18,4,Kwiecień
109,19,4,Kwiecień
110,20,4,Kwiecień
111,21,4,Kwiecień
112,22,4,Kwiecień
113,23,4,Kwiecień
114,24,4,Kwiecień
115,25,4,Kwiecień
116,26,4,Kwiecień
117,27,4,Kwiecień
118,28,4,Kwiecień
119,29,4,Kwiecień
120,30,4,Kwiecień
121,1,5,Maj
122,2,5,Maj
123,3,5,Maj
124,4,5,Maj
125,5,5,Maj
126,6,5,Maj
127,7,5,Maj
128,8,5,Maj
129,9,5,Maj
130,10,5,Maj
131,11,5,Maj
132,12,5,Maj
133,13,5,Maj
134,14,5,Maj
135,15,5,Maj
136,16,5,Maj
137,17,5,Maj
138,18,5,Maj
139,19,5,Maj
140,20,5,Maj
141,21,5,Maj
142,22,5,Maj
143,23,5,Maj
144,24,5,Maj
145,25,5,Maj
146,26,5,Maj
147,27,5,Maj
148,28,5,Maj
149,29,5,Maj
150,30,5,Maj
151,31,5,Maj
152,1,6,Czerwiec
153,2,6,Czerwiec
154,3,6,Czerwiec
155,4,6,Czerwiec
156,5,6,Czerwiec
157,6,6,Czerwiec
158,7,6,Czerwiec
159,8,6,Czerwiec
160,9,6,Czerwiec
161,10,6,Czerwiec
162,11,6,Czerwiec
163,12,6,Czerwiec
164,13,6,Czerwiec
165,14,6,Czerwiec
166,15,6,Czerwiec
167,16,6,Czerwiec
