1,1,ulica,00-000
2,1,ulica,00-000
3,2,ulica,00-000
4,2,ulica,00-000
5,3,ulica,00-000
6,3,ulica,00-000
7,4,ulica,00-000
8,4,ulica,00-000
9,5,ulica,00-000
10,5,ulica,00-000
11,6,ulica,00-000
12,6,ulica,00-000
13,7,ulica,00-000
14,7,ulica,00-000
15,8,ulica,00-000
16,8,ulica,00-000
17,9,ulica,00-000
18,9,ulica,00-000
19,10,ulica,00-000
20,10,ulica,00-000
21,11,ulica,00-000
22,11,ulica,00-000
23,12,ulica,00-000
24,12,ulica,00-000
25,13,ulica,00-000
26,13,ulica,00-000
27,14,ulica,00-000
28,14,ulica,00-000
29,15,ulica,00-000
30,15,ulica,00-000
31,16,ulica,00-000
32,16,ulica,00-000
33,17,ulica,00-000
34,17,ulica,00-000
35,18,ulica,00-000
36,18,ulica,00-000
37,19,ulica,00-000
38,19,ulica,00-000
39,20,ulica,00-000
40,20,ulica,00-000
41,21,ulica,00-000
42,21,ulica,00-000
43,22,ulica,00-000
44,22,ulica,00-000
45,23,ulica,00-000
46,23,ulica,00-000
47,24,ulica,00-000
48,24,ulica,00-000
49,25,ulica,00-000
50,25,ulica,00-000
51,26,ulica,00-000
52,26,ulica,00-000
53,27,ulica,00-000
54,27,ulica,00-000
55,28,ulica,00-000
56,28,ulica,00-000
57,29,ulica,00-000
58,29,ulica,00-000
59,30,ulica,00-000
60,30,ulica,00-000
61,31,ulica,00-000
62,31,ulica,00-000
63,32,ulica,00-000
64,32,ulica,00-000
