1,271,2013
2,333,2012
3,78,2014
4,234,2014
5,149,2012
6,262,2013
7,241,2013
8,303,2014
9,12,2013
10,3,2012
11,37,2013
12,272,2010
13,249,2013
14,84,2014
15,297,2010
16,356,2011
17,321,2010
18,108,2011
19,7,2012
20,128,2012
21,203,2012
22,318,2010
23,125,2014
24,344,2014
25,357,2010
26,167,2014
27,283,2012
28,140,2014
29,23,2013
30,249,2013
31,44,2013
32,320,2010
33,203,2011
34,219,2014
35,162,2011
36,191,2013
37,136,2010
38,96,2012
39,322,2010
40,295,2013
41,335,2014
42,108,2014
43,302,2011
44,304,2010
45,246,2010
46,332,2012
47,157,2013
48,163,2012
49,129,2012
50,177,2011
51,332,2013
52,227,2010
53,234,2011
54,52,2013
55,54,2014
56,68,2014
57,364,2013
58,80,2013
59,148,2013
60,322,2010
61,69,2014
62,143,2012
63,245,2014
64,351,2013
65,292,2013
66,27,2010
67,212,2013
68,124,2012
69,28,2010
70,193,2013
71,37,2011
72,24,2010
73,49,2013
74,327,2013
75,247,2011
76,100,2011
77,46,2013
78,29,2012
79,104,2012
80,125,2012
81,17,2014
82,339,2012
83,29,2014
84,145,2014
85,174,2010
86,83,2014
87,152,2013
88,9,2010
89,340,2013
90,56,2010
91,205,2014
92,353,2012
93,36,2013
94,161,2010
95,63,2013
96,331,2014
97,77,2011
98,317,2011
99,15,2011
100,64,2011
101,316,2010
102,49,2011
103,314,2010
104,60,2010
105,231,2012
106,229,2014
107,181,2011
108,168,2014
109,138,2013
110,151,2012
111,314,2010
112,37,2014
113,309,2014
114,98,2011
115,75,2010
116,1,2010
117,319,2011
118,26,2014
119,113,2011
120,308,2012
121,199,2010
122,307,2010
123,231,2014
124,342,2014
125,42,2011
126,143,2011
127,120,2013
128,187,2010
129,116,2012
130,115,2010
131,158,2010
132,54,2013
133,88,2014
134,126,2014
135,338,2012
136,191,2012
137,244,2014
138,240,2014
139,253,2012
140,222,2011
141,282,2010
142,230,2012
143,188,2014
144,191,2014
145,108,2011
146,295,2010
147,106,2010
148,163,2010
149,8,2014
150,146,2011
151,270,2013
152,349,2013
153,355,2014
154,2,2013
155,152,2014
156,243,2014
157,280,2013
158,53,2010
159,229,2014
160,234,2012
161,99,2011
162,58,2014
163,112,2013
164,350,2011
165,105,2011
166,121,2010
167,191,2012
168,56,2012
169,165,2011
170,68,2010
171,285,2013
172,7,2010
173,82,2014
174,247,2012
175,263,2010
176,117,2014
177,214,2014
178,26,2010
179,203,2010
180,38,2011
181,51,2013
182,221,2010
183,244,2012
184,5,2011
185,246,2014
186,239,2011
187,228,2010
188,109,2014
189,134,2014
190,106,2010
191,38,2010
