1,1,"DUO PARKIET (RL), na listwie, DĄB EUROPEJSKI-NATUR W, 1-lam., lakier matowy, wym.:11x70x490mm"
2,1,"DUO PARKIET (L), na listwie, MERBAU-NATUR W, 1-lam., lakier matowy, wym.:11x70x490mm"
3,2,"DESKA LITA CLICK, DĄB-STANDARD, SZCZOTKOWANY, LAKIER PEARL MAT., wym.:15x115x300-1200mm (mix), FAZOWANY, 1LAM."
4,2,"DESKA LITA CLICK, DĄB-STANDARD, LAKIER MAT., wym.:15x115x300-1200mm (mix), SZCZOTKOWANY, FAZOWANY, 1LAM."
5,2,"DESKA LITA PIÓRO-WPUST DĄB PEARL SZCZ.LAKIER MAT. /1,80 MIX 600-1800/ FAZOWANA G18 S135 1 LAM"
6,2,"DESKA LITA PIÓRO-WPUST, DĄB-STANDARD, LAKIER BIAŁY MAT, wym.:15x120x300-1200mm (mix), FAZOWANY, 1LAM."
7,2,"DESKA LITA PIÓRO-WPUST CREAM SZCZOTKA LAKIER MATOWY G18 MIX DŁ (600-1800mm) FAZOWANA KLASA RUSTIC"
8,2,"DESKA LITA PIÓRO-WPUST DĄB ONYX SZCZ.LAKIER MAT. /1,80 MIX 600-1800/ FAZOWANA G18 S135 1 LAM"
9,2,"DESKA LITA PIÓRO-WPUST, DĄB-STANDARD, BERYL SZCZ.LAKIER MAT, wym.:15x120x300-1200mm (mix), FAZOWANY, 1LAM."
10,2,"DESKA LITA PIÓRO-WPUST DĄB BERYL SZCZ.LAKIER MAT. /1,80 MIX 600-1800/ FAZOWANA G18 S135 1 LAM"
11,2,"DESKA LITA PIÓRO-WPUST DĄB TOPAZ SZCZ.LAKIER MAT. /1,80 MIX 600-1800/ FAZOWANA G18 S135 1 LAM"
12,2,"DESKA LITA PIÓRO-WPUST DĄB AMETHYST LAKIER MAT./1,80 MIX 600-1800/ FAZOWANA G18 S135 1 LAM"
13,2,"DESKA LITA PIÓRO-WPUST, DĄB NEPHRITE, lakier matowy, faza, wym.15x120x400-1200mm, 1-LAM"
14,2,"DESKA LITA PIÓRO-WPUST, DĄB-STANDARD, SZCZOTKOWOANY, LAKIER MAT. wym.:15x120x300-1200mm (mix), FAZOWANY, 1LAM."
15,2,"DESKA LITA PIÓRO-WPUST DĄB BIRMIT LAKIER MAT.SZCZOTKA /1,80 MIX 600-1800/ FAZOWANA G18 S135 1 LAM"
16,2,"DESKA LITA PIÓRO-WPUST DĄB BARYT LAKIER /1,05 MIX 350-1050/ FAZOWANA G12 S095 1 LAM"
17,2,"DESKA LITA PIÓRO-WPUST DĄB LAKIER /1,20 MIX 400-1200/ RUSTICAL FAZOWANA G15 S120 1 LAM"
